levelId,duration,wavePeriod,basicEnemiesInAWave,baseEnergy,baseFirePower,attackPatternsIntroductions,attackPatternSymmetryOdds,oddsOf2SimultaneousWaves,oddsOf3SimultaneousWaves,oddsOf4SimultaneousWaves,oddsOf5SimultaneousWaves,extractableCount,crateCount,lighthouseSatelliteCount,helicopterAttacksPackSize,helicopterEnergyMultiplier,helicopterFirePowerMultiplier,enemy1AttacksPackSize,enemy1EnergyMultiplier,enemy1FirePowerMultiplier,enemy2AttacksPackSize,enemy2EnergyMultiplier,enemy2FirePowerMultiplier,enemy3AttacksPackSize,enemy3EnergyMultiplier,enemy3FirePowerMultiplier,enemy4AttacksPackSize,enemy4EnergyMultiplier,enemy4FirePowerMultiplier,levelTimeAtStart,levelTimeAtTheEnd,universalTimeAtStart,universalTimeAtTheEnd
1,30,5,[3-5],[100-150],[100-150],\,100,,,,,1,,0,3,30,5,,,,,,,,,,,,,0,30,0,30
1,30,5,[4-6],,,,100,,,,,1,,,3,,,,,,,,,,,,,,,30,60,30,60
1,30,5,[4-6],,,,100,,,,,1,2,1,,,,,,,,,,,,,,,,60,90,60,90
1,30,5,[5-6],,,U,100,,,,,1,,,3,,,,,,,,,,,,,,,90,120,90,120
1,30,5,[5-6],,,,80,,,,,1,,,,,,,,,,,,,,,,,,120,150,120,150
1,30,5,[5-6],,,C,80,20,,,,2,7,,3,,,,,,,,,,,,,,,150,180,150,180
1,30,5,[5-7],,,d,80,40,,,,3,9,1,,,,,,,,,,,,,,,,180,210,180,210
2,30,5,[5-7],,[150-200],,,,,,,1,,,,,,,,,,,,,,,,,,0,30,210,240
2,30,5,[5-7],,,,,,,,,1,,,3,,,,,,,,,,,,,,,30,60,240,270
2,60,5,[5-7],,,z,,,,,,3,2,,3,,,,,,,,,,,,,,,60,120,270,330
2,60,5,[5-7],[150-300],,,,,,,,3,,1,,,,,,,,,,,,,,,,120,180,330,390
2,60,5,[6-7],,,,,40,10,,,4,1,,3,,,,,,,,,,,,,,,180,240,390,450
2,60,5,[6-7],,,clove,,,,,,,,,,,,,,,,,,,,,,,,240,300,450,510
3,60,5,[6-7],,,,,,,,,3,1,,,,,,,,,,,,,,,,,0,60,510,570
3,60,5,[6-7],,,,,,,,,2,,,4,,,,,,,,,,,,,,,60,120,570,630
3,60,5,[6-7],,,v,,,,,,1,,1,3,,,,,,,,,,,,,,,120,180,630,690
3,60,5,[6-7],,,,,,,,,1,3,,4,,,,,,,,,,,,,,,180,240,690,750
3,60,5,[6-7],,,,,,,,,3,,,,,,,,,,,,,,,,,,240,300,750,810
4,60,5,[6-7],,,,,,,,,4,,,,,,,,,,,,,,,,,,0,60,810,870
4,60,5,[6-7],,,,,,,,,3,1,,3,,,,,,,,,,,,,,,60,120,870,930
4,60,5,[6-7],,[200-250],zz,,,,,,3,,,,,,,,,,,,,,,,,,120,180,930,990
4,60,5,[6-7],,,,,,,,,4,,1,,,,,,,,,,,,,,,,180,240,990,1050
4,60,5,[6-7],[200-300],,j,,,,,,4,,,3,,,,,,,,,,,,,,,240,300,1050,1110
4,60,5,[6-7],,,,,,,,,2,3,,,,,,,,,,,,,,,,,300,360,1110,1170
4,60,5,[6-7],,,,,,,,,3,,,,,,,,,,,,,,,,,,360,420,1170,1230
5,60,5,[6-7],,,,,,,,,3,,,3,,,,,,,,,,,,,,,0,60,1230,1290
5,60,5,[6-7],,,,75,,,,,2,2,,,,,,,,,,,,,,,,,60,120,1290,1350
5,60,5,[6-7],,,o,,,,,,1,,1,,,,,,,,,,,,,,,,120,180,1350,1410
5,60,5,[6-7],,,,,,,,,2,,,3,,,,,,,,,,,,,,,180,240,1410,1470
6,60,5,[6-7],[300-350],,,,,,,,3,,,,,,,,,,,,,,,,,,0,60,1470,1530
6,60,5,[7-7],,[250-300],w,,,,,,3,3,,3,,,,,,,,,,,,,,,60,120,1530,1590
6,60,5,[7-7],,,,,,,,,3,,1,,,,,,,,,,,,,,,,120,180,1590,1650
6,60,5,[7-7],,,,,,,,,2,,,3,,,,,,,,,,,,,,,180,240,1650,1710
6,60,5,[7-7],,,8,,,,,,2,1,,,,,,,,,,,,,,,,,240,300,1710,1770
6,60,5,[7-7],,,,,,,,,1,,1,,,,,,,,,,,,,,,,300,360,1770,1830
6,60,5,[7-7],,,,,,,,,1,,,3,,,,,,,,,,,,,,,360,420,1830,1890
6,60,5,[7-7],,,,,,,,,1,,,,,,,,,,,,,,,,,,420,480,1890,1950
7,60,5,[7-7],,,,,,,,,1,,,3,,,,,,,,,,,,,,,0,60,1950,2010
7,60,5,[7-7],,,,,,,,,1,,,,,,,,,,,,,,,,,,60,120,2010,2070
7,60,5,[7-7],,,,,,,,,1,1,1,3,,,,,,,,,,,,,,,120,180,2070,2130
7,60,5,[7-7],,,88,,,,,,3,,,,,,,,,,,,,,,,,,180,240,2130,2190
7,60,5,[7-7],,,,,,,,,3,,1,4,,,,,,,,,,,,,,,240,300,2190,2250
7,60,5,[7-7],,,,,,,,,2,1,,,,,,,,,,,,,,,,,300,360,2250,2310
7,60,5,[7-7],,,,,,,,,2,,,,,,,,,,,,,,,,,,360,420,2310,2370
7,60,5,[7-7],,,SS,,,,,,1,,,3,,,,,,,,,,,,,,,420,480,2370,2430
7,90,5,[7-7],,,,,,,,,1,,1,,,,,,,,,,,,,,,,480,570,2430,2520
7,90,5,[7-7],,,,,,,,,2,,,,,,,,,,,,,,,,,,570,660,2520,2610
8,90,5,[7-7],,,,,,,,,2,,,,,,,,,,,,,,,,,,0,90,2610,2700
8,90,5,[7-7],,,,,,,,,3,,1,3,,,,,,,,,,,,,,,90,180,2700,2790
8,90,5,[7-7],,,,,,,,,1,,,,,,,,,,,,,,,,,,180,270,2790,2880
8,90,5,[7-7],,,,,,,,,3,3,,,,,,,,,,,,,,,,,270,360,2880,2970
8,120,5,[7-7],,,,,,,,,1,,,3,,,,,,,,,,,,,,,360,480,2970,3090
8,120,5,[7-7],,,,,,,,,2,,1,,,,,,,,,,,,,,,,480,600,3090,3210
8,120,5,[7-7],,,,,,,,,2,,,,,,,,,,,,,,,,,,600,720,3210,3330
8,120,5,[7-7],,,,70,,,,,1,,,3,,,,,,,,,,,,,,,720,840,3330,3450
9,120,5,[7-7],,,,,,,,,3,,,,,,,,,,,,,,,,,,0,120,3450,3570
9,120,5,[7-7],,[300-350],,,,,,,4,2,1,3,,,,,,,,,,,,,,,120,240,3570,3690
9,120,5,[7-7],,,,,,,,,5,,,,,,,,,,,,,,,,,,240,360,3690,3810
9,120,5,[7-7],[400-450],,,,,,,,3,,,,,,,,,,,,,,,,,,360,480,3810,3930
9,120,5,[7-7],,,,,,,,,2,,1,3,,,,,,,,,,,,,,,480,600,3930,4050
9,120,5,[7-7],,,,60,,,,,1,2,,,,,,,,,,,,,,,,,600,720,4050,4170
9,120,5,[7-7],,,,,,,,,1,,,,,,,,,,,,,,,,,,720,840,4170,4290
9,120,5,[7-7],,,,,,,,,1,,,3,,,,,,,,,,,,,,,840,960,4290,4410
10,120,5,[7-7],,,,,,,,,2,,,,,,,,,,,,,,,,,,0,120,4410,4530
10,120,5,[7-7],,,,,,,,,2,2,1,4,,,,,,,,,,,,,,,120,240,4530,4650
10,120,5,[7-8],,,,,,,,,2,,,,,,,,,,,,,,,,,,240,360,4650,4770
10,120,5,[7-8],,,,,,,,,3,,,,,,,,,,,,,,,,,,360,480,4770,4890
10,120,5,[7-8],,[400-500],,50,,,,,1,1,,4,,,,,,,,,,,,,,,480,600,4890,5010
11,120,5,[7-8],,,,,,,,,2,,,0,,,,,,,,,,,,,,,0,120,5010,5130
11,120,5,[7-8],[400-500],,,,,,,,3,1,,,,,,,,,,,,,,,,,120,240,5130,5250
11,120,5,[7-8],,,,,,,,,4,,,4,,,,,,,,,,,,,,,240,360,5250,5370
11,120,5,[7-8],,,,,,,,,2,1,1,3,,,,,,,,,,,,,,,360,480,5370,5490
11,120,5,[7-8],,,,,,,,,1,,1,,,,,,,,,,,,,,,,480,600,5490,5610
11,120,5,[7-8],,,,,,,,,5,3,,4,,,,,,,,,,,,,,,600,720,5610,5730
11,120,5,[7-8],,,,,,,,,,,,3,,,,,,,,,,,,,,,720,840,5730,5850
11,120,5,[7-8],,,,,,,,,5,,,,,,,,,,,,,,,,,,840,960,5850,5970
12,180,5,[7-8],,,,,,,,,5,,,,,,,,,,,,,,,,,,0,180,5970,6150
12,180,5,[7-9],,,,,,,,,6,,,3,,,,,,,,,,,,,,,180,360,6150,6330
12,180,5,[8-9],,,,30,,,,,7,,,,,,,,,,,,,,,,,,360,540,6330,6510
12,180,5,[8-9],,,,,,,,,6,1,,3,,,,,,,,,,,,,,,540,720,6510,6690
12,180,5,[8-10],,,,,,,,,5,,,6,,,,,,,,,,,,,,,720,900,6690,6870
12,180,5,[8-10],,[450-500],,,,,,,4,1,1,3,,,,,,,,,,,,,,,900,1080,6870,7050
12,180,5,[8-10],,[500-550],,,,,,,1,,,6,,,,,,,,,,,,,,,1080,1260,7050,7230
